interaction_id,timestamp,department,user_role,user_query,query_category,metrics_requested,analysis_type,bot_response_confidence,response_time_ms,user_feedback_rating,estimated_business_impact,timestamp_seconds,response_time_sec,efficiency_score,confidence_norm,impact_score,low_confidence_flag,high_impact_flag,slow_response_flag,low_feedback_flag,risk_score,risk_level
INT-100385,2025-10-07 02:16:31.852730,Sales,Executive,Which campaign had highest ROI?,Sales,Churn Rate,Predictive,0.91,411,3.0,Low,,0.411,0.7087172218284904,0.9191919191919192,1.0,0,0,0,0,0.0,Low Risk
INT-100386,2026-01-05 16:09:31.852732,Marketing,Manager,What is customer churn rate?,Customer,Profit Margin,Trend Analysis,0.85,923,3.0,High,,0.923,0.5200208008320333,0.8585858585858586,3.0,0,1,0,0,0.3,Medium Risk
INT-100387,2026-01-10 00:19:31.852734,Marketing,Intern,Show monthly revenue trend,Revenue,Profit Margin,Descriptive,0.95,1965,3.0,Low,,1.965,0.3372681281618887,0.9595959595959596,1.0,0,0,0,0,0.0,Low Risk
INT-100388,2025-12-23 17:26:31.852736,Sales,Executive,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.86,950,3.0,High,,0.95,0.5128205128205129,0.8686868686868687,3.0,0,1,0,0,0.3,Medium Risk
INT-100390,2026-01-21 02:07:31.852740,Sales,Manager,Compare sales performance by region,Sales,Revenue,Descriptive,0.82,1668,2.0,,,1.668,0.3748125937031484,0.8282828282828283,,0,0,0,1,0.1,Low Risk
INT-100391,2025-10-14 14:38:31.852742,Operations,Executive,Which campaign had highest ROI?,Revenue,Conversion Rate,Predictive,0.8,593,5.0,Medium,,0.593,0.6277463904582549,0.8080808080808082,2.0,0,0,0,0,0.0,Low Risk
INT-100392,2025-09-03 14:07:31.852743,Operations,Manager,What is customer churn rate?,Finance,Conversion Rate,Trend Analysis,0.88,711,4.0,Low,,0.711,0.5844535359438925,0.888888888888889,1.0,0,0,0,0,0.0,Low Risk
INT-100393,2025-04-28 22:31:31.852745,Sales,Intern,Which campaign had highest ROI?,Finance,Revenue,Trend Analysis,0.61,885,3.0,Medium,,0.885,0.5305039787798409,0.6161616161616161,2.0,0,0,0,0,0.0,Low Risk
INT-100394,2025-11-30 15:13:31.852747,Operations,Intern,Forecast next quarter revenue,Revenue,Revenue,Predictive,0.87,1938,4.0,Medium,,1.938,0.34036759700476515,0.8787878787878788,2.0,0,0,0,0,0.0,Low Risk
INT-100395,2025-03-31 18:15:31.852749,Operations,Manager,Show monthly revenue trend,Finance,Conversion Rate,Predictive,0.96,1920,5.0,Medium,,1.92,0.3424657534246575,0.9696969696969697,2.0,0,0,0,0,0.0,Low Risk
INT-100396,2025-03-25 04:41:31.852751,Operations,Analyst,Show monthly revenue trend,Customer,Profit Margin,Trend Analysis,0.88,2026,3.0,Medium,,2.026,0.3304692663582287,0.888888888888889,2.0,0,0,1,0,0.2,Low Risk
INT-100397,2025-09-18 03:06:31.852753,Finance,Executive,Compare sales performance by region,Finance,Conversion Rate,Descriptive,0.61,1482,5.0,Low,,1.482,0.40290088638195,0.6161616161616161,1.0,0,0,0,0,0.0,Low Risk
INT-100398,2025-08-09 08:30:31.852754,HR,Intern,Compare sales performance by region,Revenue,Churn Rate,Predictive,0.75,2057,1.0,Medium,,2.057,0.32711808963035655,0.7575757575757576,2.0,0,0,1,1,0.30000000000000004,Medium Risk
INT-100399,2025-09-17 11:43:31.852756,Marketing,Intern,Compare sales performance by region,Marketing,Churn Rate,Predictive,0.92,2461,4.0,,,2.461,0.2889338341519792,0.9292929292929294,,0,0,1,0,0.2,Low Risk
INT-100400,2025-11-21 15:00:31.852758,Finance,Executive,What is customer churn rate?,Customer,Churn Rate,Descriptive,0.97,1512,3.0,,,1.512,0.3980891719745223,0.9797979797979798,,0,0,0,0,0.0,Low Risk
INT-100401,2025-04-15 06:30:31.852762,Operations,Manager,Forecast next quarter revenue,Sales,ROI,Trend Analysis,0.74,2064,3.0,Medium,,2.064,0.3263707571801567,0.7474747474747475,2.0,0,0,1,0,0.2,Low Risk
INT-100402,2025-05-25 18:05:31.852765,Sales,Manager,Forecast next quarter revenue,Revenue,Churn Rate,Predictive,0.93,1611,4.0,Low,,1.611,0.3829950210647262,0.9393939393939394,1.0,0,0,0,0,0.0,Low Risk
INT-100403,2025-04-11 13:15:31.852769,Operations,Manager,Forecast next quarter revenue,Sales,Profit Margin,Trend Analysis,0.94,2007,3.0,Low,,2.007,0.3325573661456601,0.9494949494949495,1.0,0,0,1,0,0.2,Low Risk
INT-100404,2025-12-29 00:25:31.852772,HR,Analyst,Forecast next quarter revenue,Marketing,ROI,Trend Analysis,0.65,1768,3.0,High,,1.768,0.36127167630057805,0.6565656565656566,3.0,0,1,0,0,0.3,Medium Risk
INT-100405,2025-07-25 01:33:31.852775,Operations,Analyst,Compare sales performance by region,Sales,ROI,Trend Analysis,0.93,1263,3.0,High,,1.263,0.44189129474149363,0.9393939393939394,3.0,0,1,0,0,0.3,Medium Risk
INT-100406,2025-11-22 02:27:31.852778,Sales,Intern,Show monthly revenue trend,Revenue,Churn Rate,Descriptive,0.73,1197,4.0,,,1.197,0.4551661356395084,0.7373737373737373,,0,0,0,0,0.0,Low Risk
INT-100407,2025-07-05 05:04:31.852792,HR,Manager,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.83,2457,4.0,Medium,,2.457,0.2892681515765114,0.8383838383838383,2.0,0,0,1,0,0.2,Low Risk
INT-100408,2026-02-03 07:19:31.852794,Operations,Executive,Forecast next quarter revenue,Marketing,Revenue,Trend Analysis,0.81,798,3.0,High,,0.798,0.5561735261401557,0.8181818181818182,3.0,0,1,0,0,0.3,Medium Risk
INT-100409,2026-01-03 15:34:31.852795,HR,Intern,Compare sales performance by region,Revenue,Conversion Rate,Predictive,0.86,1283,2.0,High,,1.283,0.43802014892685065,0.8686868686868687,3.0,0,1,0,1,0.4,Medium Risk
INT-100410,2025-03-25 16:51:31.852797,Marketing,Executive,Forecast next quarter revenue,Marketing,Conversion Rate,Predictive,0.89,921,5.0,Medium,,0.921,0.5205622071837585,0.898989898989899,2.0,0,0,0,0,0.0,Low Risk
INT-100411,2026-01-01 21:07:31.852799,Marketing,Intern,Which campaign had highest ROI?,Marketing,ROI,Descriptive,0.77,1354,5.0,High,,1.354,0.42480883602378927,0.7777777777777778,3.0,0,1,0,0,0.3,Medium Risk
INT-100412,2025-10-08 22:47:31.852801,Operations,Analyst,Show monthly revenue trend,Revenue,ROI,Descriptive,0.95,1908,2.0,Low,,1.908,0.343878954607978,0.9595959595959596,1.0,0,0,0,1,0.1,Low Risk
INT-100413,2025-03-25 19:02:31.852803,HR,Intern,Which campaign had highest ROI?,Finance,ROI,Predictive,0.92,216,3.0,Medium,,0.216,0.8223684210526316,0.9292929292929294,2.0,0,0,0,0,0.0,Low Risk
INT-100414,2025-07-13 05:48:31.852805,Sales,Analyst,What is customer churn rate?,Marketing,Profit Margin,Predictive,0.91,1191,2.0,,,1.191,0.4564125969876769,0.9191919191919192,,0,0,0,1,0.1,Low Risk
INT-100415,2025-07-18 06:15:31.852806,Operations,Intern,Compare sales performance by region,Revenue,Profit Margin,Descriptive,0.78,1077,5.0,Low,,1.077,0.4814636494944632,0.787878787878788,1.0,0,0,0,0,0.0,Low Risk
INT-100416,2025-08-29 16:37:31.852808,Marketing,Manager,What is customer churn rate?,Finance,Revenue,Trend Analysis,0.61,2432,5.0,High,,2.432,0.2913752913752914,0.6161616161616161,3.0,0,1,1,0,0.5,Medium Risk
INT-100417,2025-04-27 16:05:31.852810,Marketing,Executive,Compare sales performance by region,Marketing,ROI,Descriptive,0.79,1646,1.0,Medium,,1.646,0.3779289493575208,0.797979797979798,2.0,0,0,0,1,0.1,Low Risk
INT-100418,2025-04-05 13:23:31.852812,Operations,Manager,Which campaign had highest ROI?,Finance,Churn Rate,Trend Analysis,0.95,1665,5.0,High,,1.665,0.37523452157598497,0.9595959595959596,3.0,0,1,0,0,0.3,Medium Risk
INT-100419,2025-07-12 19:31:31.852814,HR,Intern,Forecast next quarter revenue,Customer,ROI,Predictive,0.67,1878,1.0,Medium,,1.878,0.34746351633078526,0.6767676767676768,2.0,0,0,0,1,0.1,Low Risk
INT-100420,2025-04-12 03:34:31.852815,Marketing,Intern,Forecast next quarter revenue,Customer,Profit Margin,Predictive,0.98,1743,3.0,,,1.743,0.3645643456069996,0.98989898989899,,0,0,0,0,0.0,Low Risk
INT-100422,2025-05-15 15:43:31.852819,Marketing,Analyst,Forecast next quarter revenue,Marketing,Profit Margin,Trend Analysis,0.88,1471,5.0,Medium,,1.471,0.4046944556859571,0.888888888888889,2.0,0,0,0,0,0.0,Low Risk
INT-100423,2026-01-14 23:11:31.852821,Marketing,Executive,Which campaign had highest ROI?,Revenue,ROI,Descriptive,0.86,1764,5.0,Low,,1.764,0.361794500723589,0.8686868686868687,1.0,0,0,0,0,0.0,Low Risk
INT-100424,2025-08-24 04:54:31.852823,Finance,Executive,Forecast next quarter revenue,Sales,Churn Rate,Trend Analysis,0.83,1495,3.0,High,,1.495,0.4008016032064128,0.8383838383838383,3.0,0,1,0,0,0.3,Medium Risk
INT-100425,2025-03-14 20:44:31.852825,Marketing,Intern,Which campaign had highest ROI?,Revenue,Revenue,Descriptive,0.88,2380,3.0,Medium,,2.38,0.2958579881656805,0.888888888888889,2.0,0,0,1,0,0.2,Low Risk
INT-100426,2026-02-06 18:06:31.852827,Sales,Intern,What is customer churn rate?,Sales,Churn Rate,Descriptive,0.76,1228,5.0,Medium,,1.228,0.44883303411131065,0.7676767676767677,2.0,0,0,0,0,0.0,Low Risk
INT-100427,2025-09-08 18:15:31.852828,Operations,Analyst,Which campaign had highest ROI?,Sales,Profit Margin,Descriptive,0.93,1765,4.0,Low,,1.765,0.36166365280289337,0.9393939393939394,1.0,0,0,0,0,0.0,Low Risk
INT-100428,2025-07-19 23:29:31.852831,Operations,Manager,Show monthly revenue trend,Marketing,Conversion Rate,Predictive,0.87,1913,3.0,High,,1.913,0.3432887058015791,0.8787878787878788,3.0,0,1,0,0,0.3,Medium Risk
INT-100429,2025-09-02 00:46:31.852832,HR,Manager,Show monthly revenue trend,Finance,Churn Rate,Descriptive,0.9,1209,3.0,Medium,,1.209,0.4526935264825713,0.9090909090909092,2.0,0,0,0,0,0.0,Low Risk
INT-100430,2025-05-19 04:21:31.852834,Marketing,Executive,Show monthly revenue trend,Revenue,ROI,Predictive,0.91,972,5.0,,,0.972,0.5070993914807302,0.9191919191919192,,0,0,0,0,0.0,Low Risk
INT-100432,2025-06-15 09:22:31.852838,HR,Intern,Compare sales performance by region,Customer,ROI,Descriptive,0.62,682,4.0,Low,,0.682,0.5945303210463734,0.6262626262626263,1.0,0,0,0,0,0.0,Low Risk
INT-100433,2025-09-24 18:18:31.852840,Finance,Executive,Compare sales performance by region,Marketing,ROI,Predictive,0.91,1785,4.0,Medium,,1.785,0.3590664272890485,0.9191919191919192,2.0,0,0,0,0,0.0,Low Risk
INT-100434,2025-07-11 18:02:31.852842,HR,Analyst,Which campaign had highest ROI?,Marketing,Churn Rate,Predictive,0.7,1781,1.0,,,1.781,0.35958288385472853,0.7070707070707071,,0,0,0,1,0.1,Low Risk
INT-100435,2025-11-30 11:17:31.852844,HR,Manager,Compare sales performance by region,Customer,Revenue,Trend Analysis,0.83,1305,4.0,High,,1.305,0.4338394793926248,0.8383838383838383,3.0,0,1,0,0,0.3,Medium Risk
INT-100436,2025-10-17 10:40:31.852845,Marketing,Analyst,What is customer churn rate?,Revenue,Conversion Rate,Descriptive,0.77,1307,4.0,Medium,,1.307,0.43346337234503685,0.7777777777777778,2.0,0,0,0,0,0.0,Low Risk
INT-100437,2025-10-23 07:17:31.852847,Finance,Manager,Show monthly revenue trend,Customer,ROI,Predictive,0.61,374,1.0,,,0.374,0.727802037845706,0.6161616161616161,,0,0,0,1,0.1,Low Risk
INT-100438,2026-01-11 14:07:31.852849,HR,Analyst,Which campaign had highest ROI?,Revenue,Revenue,Trend Analysis,0.62,2051,5.0,Low,,2.051,0.32776138970829233,0.6262626262626263,1.0,0,0,1,0,0.2,Low Risk
INT-100440,2025-03-13 10:13:31.852852,Sales,Manager,Compare sales performance by region,Marketing,ROI,Predictive,0.84,2072,2.0,High,,2.072,0.3255208333333333,0.8484848484848485,3.0,0,1,1,1,0.6,Medium Risk
INT-100441,2025-08-27 14:44:31.852854,Operations,Executive,Which campaign had highest ROI?,Revenue,Revenue,Descriptive,0.8,2086,5.0,Low,,2.086,0.32404406999351915,0.8080808080808082,1.0,0,0,1,0,0.2,Low Risk
INT-100442,2025-08-28 10:34:31.852857,Finance,Executive,Forecast next quarter revenue,Finance,Churn Rate,Trend Analysis,0.97,1154,4.0,Medium,,1.154,0.46425255338904364,0.9797979797979798,2.0,0,0,0,0,0.0,Low Risk
INT-100443,2025-07-19 21:15:31.852858,Finance,Manager,What is customer churn rate?,Finance,ROI,Descriptive,0.67,1795,4.0,High,,1.795,0.35778175313059035,0.6767676767676768,3.0,0,1,0,0,0.3,Medium Risk
INT-100444,2025-07-18 09:40:31.852860,Operations,Manager,Compare sales performance by region,Marketing,ROI,Descriptive,0.7,2488,5.0,Medium,,2.488,0.286697247706422,0.7070707070707071,2.0,0,0,1,0,0.2,Low Risk
INT-100445,2025-03-03 06:06:31.852862,HR,Intern,Compare sales performance by region,Customer,Revenue,Trend Analysis,0.9,539,3.0,Low,,0.539,0.649772579597141,0.9090909090909092,1.0,0,0,0,0,0.0,Low Risk
INT-100446,2025-03-05 03:26:31.852864,Finance,Intern,What is customer churn rate?,Customer,ROI,Predictive,0.9,943,5.0,Medium,,0.943,0.514668039114771,0.9090909090909092,2.0,0,0,0,0,0.0,Low Risk
INT-100447,2025-11-04 20:03:31.852866,Sales,Intern,What is customer churn rate?,Revenue,Conversion Rate,Descriptive,0.76,1694,3.0,Medium,,1.694,0.37119524870081666,0.7676767676767677,2.0,0,0,0,0,0.0,Low Risk
INT-100448,2025-04-01 20:15:31.852868,Sales,Executive,Forecast next quarter revenue,Customer,ROI,Predictive,0.97,2048,5.0,Medium,,2.048,0.32808398950131235,0.9797979797979798,2.0,0,0,1,0,0.2,Low Risk
INT-100449,2025-11-02 09:54:31.852870,Marketing,Executive,Compare sales performance by region,Marketing,Profit Margin,Trend Analysis,0.97,214,3.0,High,,0.214,0.8237232289950577,0.9797979797979798,3.0,0,1,0,0,0.3,Medium Risk
INT-100450,2025-08-08 11:35:31.852873,Finance,Intern,Compare sales performance by region,Revenue,Conversion Rate,Descriptive,0.6,2188,2.0,Low,,2.188,0.31367628607277287,0.6060606060606061,1.0,0,0,1,1,0.30000000000000004,Medium Risk
INT-100451,2025-09-06 14:24:31.852876,HR,Executive,Show monthly revenue trend,Sales,Revenue,Predictive,0.67,407,3.0,High,,0.407,0.7107320540156361,0.6767676767676768,3.0,0,1,0,0,0.3,Medium Risk
INT-100452,2025-06-02 23:40:31.852879,Operations,Executive,Which campaign had highest ROI?,Customer,Conversion Rate,Predictive,0.92,1283,2.0,High,,1.283,0.43802014892685065,0.9292929292929294,3.0,0,1,0,1,0.4,Medium Risk
INT-100453,2025-04-26 03:11:31.852884,Operations,Manager,Which campaign had highest ROI?,Customer,Profit Margin,Descriptive,0.73,2407,2.0,High,,2.407,0.293513354857646,0.7373737373737373,3.0,0,1,1,1,0.6,Medium Risk
INT-100454,2025-04-26 22:34:31.852888,HR,Manager,Show monthly revenue trend,Revenue,Profit Margin,Predictive,0.64,596,2.0,Medium,,0.596,0.6265664160401002,0.6464646464646465,2.0,0,0,0,1,0.1,Low Risk
INT-100455,2025-04-24 14:07:31.852891,Marketing,Executive,Which campaign had highest ROI?,Finance,ROI,Predictive,0.91,2157,5.0,Medium,,2.157,0.31675641431738993,0.9191919191919192,2.0,0,0,1,0,0.2,Low Risk
INT-100456,2025-04-10 20:14:31.852894,Operations,Intern,What is customer churn rate?,Customer,ROI,Trend Analysis,0.78,993,5.0,Medium,,0.993,0.5017561465127948,0.787878787878788,2.0,0,0,0,0,0.0,Low Risk
INT-100458,2026-01-20 12:25:31.852902,Marketing,Intern,Which campaign had highest ROI?,Customer,Conversion Rate,Predictive,0.67,1356,5.0,Medium,,1.356,0.4244482173174873,0.6767676767676768,2.0,0,0,0,0,0.0,Low Risk
INT-100459,2026-01-24 19:08:31.852910,Finance,Analyst,Show monthly revenue trend,Sales,Churn Rate,Predictive,0.86,632,5.0,Medium,,0.632,0.6127450980392156,0.8686868686868687,2.0,0,0,0,0,0.0,Low Risk
INT-100460,2025-12-25 21:34:31.852912,Sales,Intern,Forecast next quarter revenue,Customer,Profit Margin,Descriptive,0.81,1954,1.0,Medium,,1.954,0.3385240352064997,0.8181818181818182,2.0,0,0,0,1,0.1,Low Risk
INT-100461,2025-07-23 04:51:31.852914,Marketing,Manager,Which campaign had highest ROI?,Finance,ROI,Trend Analysis,0.68,782,5.0,High,,0.782,0.5611672278338945,0.686868686868687,3.0,0,1,0,0,0.3,Medium Risk
INT-100462,2025-06-30 09:07:31.852915,Operations,Executive,Which campaign had highest ROI?,Customer,ROI,Descriptive,0.73,631,5.0,Low,,0.631,0.6131207847946045,0.7373737373737373,1.0,0,0,0,0,0.0,Low Risk
INT-100463,2025-11-17 11:22:31.852917,Marketing,Executive,Forecast next quarter revenue,Revenue,ROI,Predictive,0.83,1497,2.0,,,1.497,0.40048057669203047,0.8383838383838383,,0,0,0,1,0.1,Low Risk
INT-100464,2025-11-19 14:28:31.852919,Marketing,Manager,Show monthly revenue trend,Customer,Revenue,Descriptive,0.96,550,4.0,Low,,0.55,0.6451612903225806,0.9696969696969697,1.0,0,0,0,0,0.0,Low Risk
INT-100465,2025-06-13 06:03:31.852921,Marketing,Analyst,Forecast next quarter revenue,Finance,Profit Margin,Predictive,0.96,333,3.0,Medium,,0.333,0.7501875468867217,0.9696969696969697,2.0,0,0,0,0,0.0,Low Risk
INT-100467,2025-12-25 07:29:31.852924,Finance,Analyst,What is customer churn rate?,Marketing,Profit Margin,Trend Analysis,0.89,1428,4.0,Low,,1.428,0.41186161449752884,0.898989898989899,1.0,0,0,0,0,0.0,Low Risk
INT-100469,2025-04-07 04:40:31.852928,HR,Analyst,What is customer churn rate?,Sales,Conversion Rate,Trend Analysis,0.92,1490,2.0,Medium,,1.49,0.4016064257028112,0.9292929292929294,2.0,0,0,0,1,0.1,Low Risk
INT-100470,2025-05-13 08:42:31.852930,Marketing,Manager,What is customer churn rate?,Revenue,Profit Margin,Predictive,0.82,2017,1.0,Low,,2.017,0.3314550878355983,0.8282828282828283,1.0,0,0,1,1,0.30000000000000004,Medium Risk
INT-100472,2025-03-23 18:39:31.852933,Marketing,Intern,Compare sales performance by region,Customer,Revenue,Predictive,0.9,1903,1.0,Medium,,1.903,0.34447123665173957,0.9090909090909092,2.0,0,0,0,1,0.1,Low Risk
INT-100473,2025-04-09 00:00:31.852935,Operations,Manager,Show monthly revenue trend,Revenue,Churn Rate,Descriptive,0.64,2047,3.0,,,2.047,0.3281916639317361,0.6464646464646465,,0,0,1,0,0.2,Low Risk
INT-100474,2025-09-17 16:14:31.852937,Finance,Executive,Which campaign had highest ROI?,Revenue,Profit Margin,Predictive,0.65,2426,4.0,Medium,,2.426,0.29188558085230587,0.6565656565656566,2.0,0,0,1,0,0.2,Low Risk
INT-100475,2025-08-10 12:39:31.852939,Operations,Intern,Which campaign had highest ROI?,Revenue,ROI,Trend Analysis,0.84,2395,5.0,Low,,2.395,0.29455081001472755,0.8484848484848485,1.0,0,0,1,0,0.2,Low Risk
INT-100476,2026-02-07 18:36:31.852940,HR,Analyst,Compare sales performance by region,Revenue,Profit Margin,Predictive,0.98,664,3.0,Low,,0.664,0.6009615384615384,0.98989898989899,1.0,0,0,0,0,0.0,Low Risk
INT-100477,2025-10-31 14:47:31.852942,Sales,Manager,What is customer churn rate?,Marketing,Revenue,Predictive,0.69,1175,1.0,High,,1.175,0.4597701149425288,0.6969696969696969,3.0,0,1,0,1,0.4,Medium Risk
INT-100478,2025-03-07 02:23:31.852944,Operations,Analyst,Compare sales performance by region,Finance,Profit Margin,Predictive,0.85,2225,4.0,Medium,,2.225,0.31007751937984496,0.8585858585858586,2.0,0,0,1,0,0.2,Low Risk
INT-100479,2025-10-01 17:49:31.852946,Operations,Analyst,Which campaign had highest ROI?,Finance,ROI,Trend Analysis,0.72,1228,3.0,,,1.228,0.44883303411131065,0.7272727272727273,,0,0,0,0,0.0,Low Risk
INT-100480,2025-11-07 06:27:31.852948,Sales,Executive,Compare sales performance by region,Revenue,Churn Rate,Predictive,0.95,725,3.0,High,,0.725,0.5797101449275363,0.9595959595959596,3.0,0,1,0,0,0.3,Medium Risk
INT-100481,2025-12-18 02:42:31.852950,HR,Analyst,Show monthly revenue trend,Marketing,Conversion Rate,Trend Analysis,0.83,1035,5.0,,,1.035,0.49140049140049136,0.8383838383838383,,0,0,0,0,0.0,Low Risk
INT-100482,2025-06-13 14:09:31.852951,Marketing,Executive,Compare sales performance by region,Marketing,Churn Rate,Predictive,0.68,1439,4.0,,,1.439,0.4100041000410004,0.686868686868687,,0,0,0,0,0.0,Low Risk
INT-100483,2025-09-13 18:51:31.852953,Operations,Intern,What is customer churn rate?,Revenue,ROI,Descriptive,0.7,1738,5.0,Medium,,1.738,0.36523009495982467,0.7070707070707071,2.0,0,0,0,0,0.0,Low Risk
INT-100484,2025-03-26 22:02:31.852955,Sales,Manager,Show monthly revenue trend,Sales,ROI,Predictive,0.77,2110,2.0,Low,,2.11,0.3215434083601286,0.7777777777777778,1.0,0,0,1,1,0.30000000000000004,Medium Risk
INT-100485,2025-12-19 12:50:31.852957,Finance,Analyst,Forecast next quarter revenue,Revenue,Revenue,Descriptive,0.65,1503,4.0,Low,,1.503,0.3995205753096284,0.6565656565656566,1.0,0,0,0,0,0.0,Low Risk
INT-100487,2025-10-29 11:15:31.852960,Finance,Analyst,Which campaign had highest ROI?,Revenue,Profit Margin,Trend Analysis,0.87,592,4.0,Medium,,0.592,0.6281407035175879,0.8787878787878788,2.0,0,0,0,0,0.0,Low Risk
INT-100488,2025-12-06 08:20:31.852962,HR,Manager,Compare sales performance by region,Sales,Churn Rate,Predictive,0.76,680,2.0,Low,,0.68,0.5952380952380952,0.7676767676767677,1.0,0,0,0,1,0.1,Low Risk
INT-100490,2025-12-21 03:32:31.852966,Sales,Analyst,Forecast next quarter revenue,Revenue,Conversion Rate,Predictive,0.64,1425,4.0,Medium,,1.425,0.4123711340206186,0.6464646464646465,2.0,0,0,0,0,0.0,Low Risk
INT-100491,2025-04-02 18:52:31.852968,Operations,Analyst,Show monthly revenue trend,Sales,Revenue,Trend Analysis,0.84,661,5.0,Low,,0.661,0.6020469596628537,0.8484848484848485,1.0,0,0,0,0,0.0,Low Risk
INT-100492,2025-08-17 13:06:31.852969,HR,Analyst,Which campaign had highest ROI?,Customer,ROI,Descriptive,0.77,2001,2.0,Medium,,2.001,0.33322225924691773,0.7777777777777778,2.0,0,0,1,1,0.30000000000000004,Medium Risk
INT-100493,2025-10-30 22:35:31.852971,Sales,Analyst,Show monthly revenue trend,Finance,Revenue,Trend Analysis,0.62,351,4.0,Low,,0.351,0.7401924500370096,0.6262626262626263,1.0,0,0,0,0,0.0,Low Risk
INT-100495,2025-11-21 08:13:31.852975,Sales,Analyst,Compare sales performance by region,Sales,ROI,Predictive,0.63,278,4.0,Low,,0.278,0.7824726134585289,0.6363636363636364,1.0,0,0,0,0,0.0,Low Risk
INT-100496,2025-03-12 11:11:31.852977,Finance,Analyst,What is customer churn rate?,Sales,Revenue,Predictive,0.92,1423,3.0,High,,1.423,0.41271151465125877,0.9292929292929294,3.0,0,1,0,0,0.3,Medium Risk
INT-100497,2025-12-30 01:38:31.852979,Sales,Analyst,Show monthly revenue trend,Marketing,Churn Rate,Predictive,0.85,1985,2.0,Low,,1.985,0.3350083752093802,0.8585858585858586,1.0,0,0,0,1,0.1,Low Risk
INT-100498,2026-01-25 16:42:31.852980,Sales,Manager,What is customer churn rate?,Sales,Profit Margin,Descriptive,0.82,2346,3.0,High,,2.346,0.29886431560071725,0.8282828282828283,3.0,0,1,1,0,0.5,Medium Risk
INT-100499,2025-07-24 15:44:31.852982,Sales,Executive,Which campaign had highest ROI?,Marketing,Conversion Rate,Predictive,0.65,2224,3.0,Medium,,2.224,0.31017369727047145,0.6565656565656566,2.0,0,0,1,0,0.2,Low Risk
INT-100500,2025-06-06 19:49:31.852984,HR,Analyst,Compare sales performance by region,Revenue,Revenue,Predictive,0.71,2460,4.0,Medium,,2.46,0.28901734104046245,0.7171717171717171,2.0,0,0,1,0,0.2,Low Risk
INT-100501,2025-12-03 11:00:31.852986,Sales,Executive,Compare sales performance by region,Customer,Profit Margin,Descriptive,0.79,2036,2.0,Medium,,2.036,0.32938076416337286,0.797979797979798,2.0,0,0,1,1,0.30000000000000004,Medium Risk
INT-100502,2026-01-09 21:47:31.852988,Operations,Analyst,Show monthly revenue trend,Customer,Profit Margin,Trend Analysis,0.85,1597,2.0,Medium,,1.597,0.3850596842510589,0.8585858585858586,2.0,0,0,0,1,0.1,Low Risk
INT-100503,2026-02-08 18:52:31.852990,Finance,Analyst,Compare sales performance by region,Finance,Conversion Rate,Predictive,0.67,1275,3.0,Low,,1.275,0.43956043956043955,0.6767676767676768,1.0,0,0,0,0,0.0,Low Risk
INT-100504,2025-11-03 22:37:31.852991,Finance,Manager,Show monthly revenue trend,Sales,Conversion Rate,Trend Analysis,0.6,1847,3.0,High,,1.847,0.3512469265893923,0.6060606060606061,3.0,0,1,0,0,0.3,Medium Risk
INT-100505,2025-06-30 07:24:31.852993,Sales,Intern,Show monthly revenue trend,Finance,Conversion Rate,Trend Analysis,0.73,2382,4.0,,,2.382,0.2956830277942046,0.7373737373737373,,0,0,1,0,0.2,Low Risk
INT-100506,2025-04-14 08:38:31.852995,HR,Intern,What is customer churn rate?,Revenue,Revenue,Predictive,0.79,610,4.0,,,0.61,0.6211180124223603,0.797979797979798,,0,0,0,0,0.0,Low Risk
INT-100507,2025-07-23 03:22:31.852997,HR,Manager,Compare sales performance by region,Customer,Conversion Rate,Predictive,0.67,2208,5.0,Medium,,2.208,0.31172069825436405,0.6767676767676768,2.0,0,0,1,0,0.2,Low Risk
INT-100508,2025-07-28 13:19:31.852999,Operations,Executive,Show monthly revenue trend,Revenue,Churn Rate,Descriptive,0.79,1693,3.0,Medium,,1.693,0.37133308577794283,0.797979797979798,2.0,0,0,0,0,0.0,Low Risk
INT-100509,2025-11-29 16:34:31.853001,Sales,Intern,What is customer churn rate?,Revenue,Profit Margin,Descriptive,0.73,1335,4.0,Medium,,1.335,0.4282655246252677,0.7373737373737373,2.0,0,0,0,0,0.0,Low Risk
INT-100510,2025-04-15 04:13:31.853003,Finance,Manager,Forecast next quarter revenue,Sales,Conversion Rate,Predictive,0.78,1748,3.0,Medium,,1.748,0.363901018922853,0.787878787878788,2.0,0,0,0,0,0.0,Low Risk
INT-100511,2025-09-02 06:53:31.853005,HR,Manager,What is customer churn rate?,Revenue,Profit Margin,Trend Analysis,0.74,984,1.0,High,,0.984,0.5040322580645161,0.7474747474747475,3.0,0,1,0,1,0.4,Medium Risk
INT-100512,2025-03-24 16:38:31.853006,Sales,Intern,What is customer churn rate?,Customer,ROI,Descriptive,0.85,1267,4.0,Medium,,1.267,0.4411116012351125,0.8585858585858586,2.0,0,0,0,0,0.0,Low Risk
INT-100513,2025-08-08 07:38:31.853008,HR,Executive,Show monthly revenue trend,Finance,ROI,Descriptive,0.62,1620,5.0,,,1.62,0.38167938931297707,0.6262626262626263,,0,0,0,0,0.0,Low Risk
